City,Address,Phone,URL
Aberdeen,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/aberdeen
Albemarle,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/albemarle
Apex,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/apex
Asheville,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/asheville
BOONE,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/boone
BURLINGTON,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/burlington
Belmont,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/belmont
CARY,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/cary
CHAPEL HILL,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/chapel-hill
CHARLOTTE,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/charlotte
CLAYTON,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/clayton
CONCORD,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/concord
CORNELIUS,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/cornelius
COROLLA,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/corolla
Carrboro,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/carrboro
Carthage,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/carthage
Cary,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/cary
Chapel Hill,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/chapel-hill
Charlotte,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/charlotte
Clemmons,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/clemmons
Concord,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/concord
Cornelius,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/cornelius
DAVIDSON,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/davidson
DURHAM,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/durham
Denver,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/denver
Durham,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/durham
FAYETTEVILLE,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/fayetteville
Fuquay Varina,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/fuquay-varina
GREENSBORO,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/greensboro
Gastonia,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/gastonia
Goldsboro,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/goldsboro
Greensboro,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/greensboro
Greenville,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/greenville
HIGH POINT,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/high-point
Hampstead,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/hampstead
Harrisburg,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/harrisburg
Hendersonville,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/hendersonville
High Point,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/high-point
Holly Springs,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/holly-springs
Huntersville,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/huntersville
Indian Trail,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/indian-trail
KILL DEVIL HILLS,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/kill-devil-hills
Kernersville,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/kernersville
Kitty Hawk,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/kitty-hawk
Leland,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/leland
MATTHEWS,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/matthews
MINT HILL,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/mint-hill
MOORESVILLE,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/mooresville
MORRISVILLE,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/morrisville
Matthews,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/matthews
Mooresville,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/mooresville
Morehead City,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/morehead-city
New Bern,"2032 Waterscape Way, New Bern, NC, 28562",(252) 631-5226,https://www.harristeeter.com/stores/grocery/nc/new-bern
Pinehurst,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/pinehurst
RALEIGH,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/raleigh
Raleigh,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/raleigh
Rocky Mount,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/rocky-mount
STALLINGS,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/stallings
Salisbury,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/salisbury
WAKE FOREST,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/wake-forest
WAXHAW,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/waxhaw
WILMINGTON,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/wilmington
WINSTON SALEM,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/winston-salem
Wake Forest,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/wake-forest
Wesley Chapel,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/wesley-chapel
Wilmington,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/wilmington
Wilson,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/wilson
Winston Salem,N/A,N/A,https://www.harristeeter.com/stores/grocery/nc/winston-salem
